ID,Site,Longitude UTM,Latitude UTM,Elevation,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks,ID
376,I 65,445433.647,7667192.011,8811814,Naib,,Shipahu,03.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 160,95,4,3125031,I 13,N,5; 6; 7; 8; 10; 11; 12,null,<300m,TRUE,adjacent,spacious,22,<3m,isolated,rather nice,none,water run-off,medium quantity,medium quantity,medium quantity,medium quantity,none,none,none,none,none,,376
377,I 66,445038.572,7666127.704,17563191,Naib,,Paulus,03.12.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 12,38,5,780519,I 67,SE,6; 7,null,>300m,TRUE,adjacent,spacious,20,<15m,marginal,rather nice,none,water run-off,few,few,few,few,none,none,none,none,none,,377
378,I 67,445360.688,7666101.475,17675062,Naib,,Paulus,03.12.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 11,32,6,780519,I 66,N,3; 4,null,>300m,TRUE,adjacent,unfavourable,9,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,378
379,I 68,445664.613,7666678.487,17820481,Naib,,Shipahu,03.12.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 10,32,2,435678,I 69,E; S,1; 4; 7,null,>300m,TRUE,within shouting distance,unfavourable,12,<3m,central,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,,379
380,I 69,445519.660,7666965.796,17840226,Naib,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 9,18,6,435678,I 68,N; S,1; 4; 12,null,>300m,null,within shouting distance,unfavourable,14,<3m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,380
381,I 70,445205.769,7665073.447,18044973,Naib,,Shipahu,03.12.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 8,27,4,1276946,I 69,N,5; 10,null,>300m,TRUE,within shouting distance,unfavourable,8,<15m,marginal,magnificent,none,none,few,few,none,none,none,none,none,none,none,,381
382,I 71,446189.289,7664690.184,21188481,Naib,,Shipahu,15.09.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 7,11,6,3559791,C 1,SW,5; 8; 9; 12,null,<300m,TRUE,within shouting distance,unfavourable,15,<3m,isolated,magnificent,none,water run-off,medium quantity,medium quantity,medium quantity,medium quantity,none,none,none,none,hammerstone,,382
383,I 72,447392.934,7665916.043,16123011,Naib,,Paulus,25.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 25,13,5,7891865,I 79,E; S; W,6; 8,null,>300m,null,>300m,spacious,17,<15m,isolated,rather nice,none,water run-off,few,few,few,none,none,few,none,none,none,,383
384,I 73,446756.274,7665332.621,16769345,Naib,,Shipahu,16.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 23,39,3,2602828,I 74,N,4; 8,null,>300m,null,>300m,spacious,25,<3m,marginal,magnificent,none,water run-off,medium quantity,medium quantity,none,none,none,none,none,none,none,,384
385,I 74,446642.909,7665483.532,1502683,Naib,,Shipahu,16.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 24,10,2,2602828,I 73,S,5; 7,TRUE,within shouting distance,null,>300m,unfavourable,5,<3m,isolated,rather nice,Pager's Camp,water run-off,none,none,none,none,none,none,none,none,none,,385
386,I 75,448043.412,7664207.768,20359991,Naib,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 6,4,6,181572,I 76,W,5; 6; 11,null,>300m,TRUE,adjacent,spacious,10,<1m,marginal,magnificent,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,,386
387,I 76,448791.313,7664650.603,20380538,Naib,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 5,45,3,181572,I 75,SE,5; 11,null,>300m,TRUE,adjacent,spacious,13,<3m,marginal,NA,none,water run-off,few,none,few,none,none,none,none,none,none,,387
388,I 77,448462.897,7664765.237,20810846,Naib,,Shipahu,15.08.1981,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 4,2,6,880667,I 78,W,5,null,>300m,TRUE,within shouting distance,unfavourable,2,NA,marginal,poor,none,water run-off,few,few,none,none,none,few,none,none,none,,388
389,I 78,448441.621,7663377.880,20906036,Naib,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 3,15,5,880667,I 77,S,5,null,>300m,null,<300m,unfavourable,14,<3m,marginal,poor,none,water run-off,few,few,few,none,none,none,few,none,none,,389
390,I 79,448863.579,7665596.832,15531731,Naib,,Paulus,19.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 26,2,5,2941765,I 80,N,1,null,<300m,null,<300m,± vertical rock,6,<3m,isolated,magnificent,none,none,few,few,none,none,none,none,none,none,none,,390
391,I 80,448930.448,7665771.004,1469065,Naib,„Giant Kudu“,Shipahu,13.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 27,9,5,1508957,I 81,N,5; 6,null,<300m,null,>300m,spacious,9,<15m,marginal,rather nice,none,none,few,few,none,none,none,few,none,none,none,,391
392,I 81,448958.658,7665684.338,142245,Naib,,Shipahu,13.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 28,6,2,1508957,I 80,E,5,TRUE,within shouting distance,null,<300m,unfavourable,13,<1m,central,rather nice,none,water run-off,few,few,none,few,none,none,none,none,none,,392
393,I 82,448036.950,7665353.557,14101432,Naib,,Shipahu,13.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 29,41,4,1067751,I 83,N,5; 9; 10,null,<300m,null,within shouting distance,unfavourable,5,<3m,marginal,rather nice,none,disintegration of rock,none,none,none,none,none,none,none,none,none,,393
393,I 82,448036.950,7665353.557,14101432,Naib,,Shipahu,13.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 29,41,4,1067751,I 83,N,5; 9; 10,null,<300m,null,within shouting distance,unfavourable,5,<3m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,393
393,I 82,448036.950,7665353.557,14101432,Naib,,Shipahu,13.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 29,41,4,1067751,I 83,N,5; 9; 10,null,<300m,null,within shouting distance,unfavourable,5,<3m,marginal,rather nice,none,vegetation impact,none,none,none,none,none,none,none,none,none,,393
394,I 83,448409.306,7665556.293,14129402,Naib,,Paulus,13.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 30,12,4,1067751,I 82,E,1,null,<300m,TRUE,adjacent,± vertical rock,0,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,394
395,I 84,449754.166,7665257.073,15352435,Naib,,Shipahu,19.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 31,5,3,1558261,I 85,SW,5,null,>300m,null,>300m,unfavourable,4,<3m,isolated,magnificent,none,water run-off,none,none,none,none,none,none,none,none,none,,395
396,I 85,449938.693,7665595.766,1610536,Naib,,Paulus,06.03.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 32,11,4,1558261,I 84,NE,5,null,>300m,null,>300m,unfavourable,4,<3m,isolated,poor,none,none,few,few,none,none,none,none,none,none,none,,396
397,I 86,449227.456,7664490.400,16817394,Naib,,Shipahu,19.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 33,11,6,5740182,I 85,N,3; 4; 10,null,>300m,null,<300m,unfavourable,20,<15m,isolated,magnificent,none,water run-off,few,few,none,none,none,none,none,none,none,,397
398,I 87,451488.272,7664755.882,20201098,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 115,97,4,361246,I 99,NE; SW; NW,1; 2; 12,null,<300m,null,<300m,± vertical rock,5,>15m,central,poor,none,water run-off,few,few,few,none,none,none,none,none,iron wire,,398
399,I 88,450967.328,7664387.611,18366642,Naib,,Matheus,07.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 135,129,3,3306783,I 90,SE,3; 4; 5; 6; 8; 10; 11,null,>300m,null,>300m,spacious,3,<15m,isolated,magnificent,none,disintegration of rock,few,few,none,none,none,none,none,none,none,,399
399,I 88,450967.328,7664387.611,18366642,Naib,,Matheus,07.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 135,129,3,3306783,I 90,SE,3; 4; 5; 6; 8; 10; 11,null,>300m,null,>300m,spacious,3,<15m,isolated,magnificent,none,water run-off,few,few,none,none,none,none,none,none,none,,399
399,I 88,450967.328,7664387.611,18366642,Naib,,Matheus,07.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 135,129,3,3306783,I 90,SE,3; 4; 5; 6; 8; 10; 11,null,>300m,null,>300m,spacious,3,<15m,isolated,magnificent,none,vegetation impact,few,few,none,none,none,none,none,none,none,,399
400,I 89,450049.969,7664943.914,19366684,Naib,,Shipahu,22.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 109,5,6,54471,I 90,W,5,null,<300m,null,>300m,unfavourable,6,<3m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,400
401,I 90,450287.592,7664689.147,19294529,Naib,,Shipahu,22.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 108,3,4,54471,I 89,SW,1,null,>300m,TRUE,adjacent,± vertical rock,5,<3m,central,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,401
402,I 91,450517.937,7664576.381,1949789,Naib,,Shipahu,02.10.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 107,7,3,671934,I 89,S,5,null,<300m,null,>300m,unfavourable,10,<3m,marginal,poor,none,water run-off,none,none,none,none,none,none,none,none,none,,402
403,I 92,450788.243,7664239.542,19843655,Naib,,Matheus,10.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 106,1,5,1095871,I 91,SW,5,null,<300m,null,>300m,spacious,15,<1m,marginal,rather nice,none,water run-off,few,none,none,none,none,few,none,none,none,,403
404,I 93,450199.671,7664659.174,19665624,Naib,,Shipahu,20.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 110,2,4,330548,I 95,SW,5,null,<300m,null,<300m,unfavourable,3,<3m,central,poor,none,water run-off,few,few,none,none,none,none,none,none,none,,404
405,I 94,450961.888,7664765.384,19696357,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 111,4,4,344342,I 93,N,5; 8,null,<300m,null,<300m,unfavourable,8,<3m,central,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,405
406,I 95,450114.846,7664201.920,19739123,Naib,,Shipahu,10.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 105,13,4,330548,I 93,SW,5,null,<300m,TRUE,adjacent,unfavourable,2,<3m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,406
407,I 96,450018.867,7664732.146,20033657,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 104,20,5,84437,I 95,S,5,null,<300m,null,>300m,unfavourable,5,<15m,marginal,rather nice,Pager's Camp,none,few,few,few,none,none,few,none,none,none,,407
408,I 97,451002.206,7664982.539,1998128,Naib,,Shipahu,20.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 103,5,3,925614,I 96,N,3,null,<300m,TRUE,within shouting distance,unfavourable,0,<15m,marginal,rather nice,none,water run-off,few,none,few,none,none,none,none,none,none,,408
409,I 98,451530.102,7664916.688,20135337,Naib,,Shipahu,21.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 113,3,3,612694,I 99,NE,1,null,<300m,null,>300m,± vertical rock,2,<3m,marginal,poor,none,water run-off,none,none,none,none,none,none,none,none,none,,409
410,I 99,451833.081,7664708.716,20165912,Naib,,Shipahu,21.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 114,1,3,361246,I 87,SE,1,null,<300m,null,>300m,± vertical rock,0,<3m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,410
411,I 100,450629.091,7664827.739,20063279,Naib,„Lempp Grottoes“,Lempp,1957/ 58,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 112,275,5,1805784,I 94,NW,5; 9; 10; 11,TRUE,within shouting distance,null,>300m,spacious,69,<15m,marginal,rather nice,Fireplace and Pager's Camp,water run-off,masses,masses,masses,masses,none,masses,few,none,various organic material,,411
412,I 101,451986.882,7664092.318,20237032,Naib,,Shipahu,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 116,1,4,438902,I 102,SE,1,null,<300m,null,>300m,± vertical rock,0,<1m,central,poor,none,water run-off,none,none,none,none,none,none,none,none,none,,412
413,I 102,451512.300,7664800.805,20278916,Naib,,Shipahu,12.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 117,6,5,438902,I 101,SW,1,TRUE,adjacent,null,>300m,± vertical rock,0,<3m,central,poor,none,water run-off,few,few,few,none,none,none,none,none,none,,413
414,I 103,451099.712,7664203.698,20314803,Naib,,Matheus,18.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 118,100,4,52143,I 102,N; SW,1; 4; 6; 9; 10; 12,TRUE,within shouting distance,TRUE,within shouting distance,unfavourable,9,<15m,marginal,rather nice,none,water run-off,few,few,few,few,none,none,none,none,none,,414
414,I 103,451099.712,7664203.698,20314803,Naib,,Matheus,18.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 118,100,4,52143,I 102,N; SW,1; 4; 6; 9; 10; 12,TRUE,within shouting distance,TRUE,within shouting distance,unfavourable,9,<15m,marginal,rather nice,none,vegetation impact,few,few,few,few,none,none,none,none,none,,414
415,I 104,451122.497,7664949.808,2031436,Naib,,Matheus,18.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 119,13,4,699029,I 105,SW,1; 12,null,within shouting distance,TRUE,within shouting distance,± vertical rock,1,<15m,central,poor,none,water run-off,none,none,none,none,none,none,none,none,none,,415
416,I 105,451625.297,7664651.852,20389852,Naib,,Shipahu,12.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 120,22,5,361809,I 106,S; W; NW,1; 5; 12,null,<300m,TRUE,adjacent,unfavourable,7,<3m,central,rather nice,none,disintegration of rock,many,many,many,many,none,many,few,none,none,,416
416,I 105,451625.297,7664651.852,20389852,Naib,,Shipahu,12.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 120,22,5,361809,I 106,S; W; NW,1; 5; 12,null,<300m,TRUE,adjacent,unfavourable,7,<3m,central,rather nice,none,water run-off,many,many,many,many,none,many,few,none,none,,416
417,I 106,451241.846,7664016.100,20383685,Naib,,Shipahu,12.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 121,8,3,361809,I 105,E,5,null,<300m,null,>300m,unfavourable,3,<3m,central,poor,none,water run-off,none,none,none,none,none,none,none,none,none,,417
418,I 107,451221.379,7664285.146,20385635,Naib,,Shipahu,18.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 122,101,4,566277,I 106,N; S,1; 2,null,<300m,null,>300m,± vertical rock,1,<15m,marginal,poor,none,water run-off,few,few,none,none,none,none,none,none,none,,418
419,I 108,452746.549,7664789.932,21454444,Naib,,Matheus,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 123,23,4,60332,I 109,N,1; 12,null,>300m,TRUE,adjacent,± vertical rock,3,>15m,isolated,rather nice,none,water run-off,few,few,few,few,none,none,none,none,none,,419
420,I 109,452972.941,7664392.919,21499245,Naib,,Matheus,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 124,4,4,60332,I 108,SW,1,null,within shouting distance,TRUE,adjacent,± vertical rock,0,<15m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,420
421,I 110,452006.947,7664410.070,2149127,Naib,,Matheus,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 125,41,2,1204678,I 112,NW,3; 4; 5; 8,TRUE,adjacent,TRUE,adjacent,unfavourable,7,<15m,marginal,rather nice,none,disintegration of rock,few,few,none,few,none,none,none,none,NA,,421
421,I 110,452006.947,7664410.070,2149127,Naib,,Matheus,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 125,41,2,1204678,I 112,NW,3; 4; 5; 8,TRUE,adjacent,TRUE,adjacent,unfavourable,7,<15m,marginal,rather nice,none,water run-off,few,few,none,few,none,none,none,none,NA,,421
422,I 111,452073.348,7665442.893,21589007,Naib,,Matheus,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 127,22,3,574192,I 112,SW,1,null,>300m,TRUE,adjacent,± vertical rock,2,<15m,central,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,422
423,I 112,452530.104,7664212.295,21581598,Naib,,Matheus,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 126,8,6,574192,I 111,N,1,null,>300m,TRUE,adjacent,± vertical rock,0,<15m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,423
424,I 113,452503.307,7664744.467,21647863,Naib,,Matheus,13.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 128,105,4,455026,I 114,SW,5; 6; 8,null,>300m,TRUE,within shouting distance,unfavourable,5,<15m,central,rather nice,none,water run-off,medium quantity,medium quantity,none,none,none,none,none,none,none,,424
425,I 114,452560.241,7665738.279,21675699,Naib,,Matheus,13.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 129,60,6,455026,I 113,E; S,1; 3; 4; 5; 7; 8; 12,null,>300m,TRUE,<300m,unfavourable; ± vertical rock,10,<15m,central,rather nice,Pager's Camp,water run-off,many,many,many,many,none,none,none,none,wooden spoon,,425
426,I 115,452240.321,7665445.580,22009463,Naib,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 131,27,5,789055,I 114,N; E; S,5; 7; 8,null,<300m,TRUE,<300m,unfavourable; ± vertical rock,16,<3m,marginal,magnificent,none,water run-off,many,many,many,many,none,many,none,none,none,,426
427,I 116,452595.193,7664315.046,21671643,Naib,,Matheus,23.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 130,44,5,829473,I 113,SE,1,null,>300m,null,<300m,± vertical rock,0,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,427
428,I 117,452233.949,7665375.630,22036672,Naib,,Shipahu,18.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 134,8,4,2690254,I 119,S,5,null,>300m,TRUE,within shouting distance,unfavourable,6,<15m,isolated,magnificent,none,water run-off,medium quantity,medium quantity,none,none,none,none,none,none,none,,428
429,I 118,452445.508,7665723.937,22013042,Naib,,Matheus,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 132,27,5,1122443,I 115,NE,1,null,>300m,TRUE,within shouting distance,± vertical rock,0,<15m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,429
430,I 119,452911.819,7665536.918,22205933,Naib,,Shipahu,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 133,29,3,1475406,I 120,SW,5; 6,null,<300m,TRUE,<300m,unfavourable,2,<3m,isolated,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,430
431,I 120,452539.275,7665222.469,2267645,Naib,,Shipahu,14.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 142,9,6,1475406,I 119,NE,1; 12,null,<300m,TRUE,adjacent,± vertical rock,0,<15m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,431
