ID,Site,Longitude UTM,Latitude UTM,Elevation,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks
391,I 80,448930.448,7665771.004,1469.065,Naib,„Giant Kudu“,Shipahu,13.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 27,9,5,150.8957,I 81,N,5; 6,,<300m,,>300m,spacious,9,<15m,marginal,rather nice,none,none,few,few,none,none,none,few,none,none,none,
392,I 81,448958.658,7665684.338,1422.45,Naib,,Shipahu,13.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 28,6,2,150.8957,I 80,E,5,True,within shouting distance,,<300m,unfavourable,13,<1m,central,rather nice,none,water run-off,few,few,none,few,none,none,none,none,none,
393,I 82,448036.950,7665353.557,1410.1432,Naib,,Shipahu,13.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 29,41,4,106.7751,I 83,N,5; 9; 10,,<300m,,within shouting distance,unfavourable,5,<3m,marginal,rather nice,none,disintegration of rock; water run-off; vegetation impact,none,none,none,none,none,none,none,none,none,
394,I 83,448409.306,7665556.293,1412.9402,Naib,,Paulus,13.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 30,12,4,106.7751,I 82,E,1,,<300m,True,adjacent,± vertical rock,0,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
395,I 84,449754.166,7665257.073,1535.2435,Naib,,Shipahu,19.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 31,5,3,155.8261,I 85,SW,5,,>300m,,>300m,unfavourable,4,<3m,isolated,magnificent,none,water run-off,none,none,none,none,none,none,none,none,none,
396,I 85,449938.693,7665595.766,1610.536,Naib,,Paulus,06.03.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 32,11,4,155.8261,I 84,NE,5,,>300m,,>300m,unfavourable,4,<3m,isolated,poor,none,none,few,few,none,none,none,none,none,none,none,
397,I 86,449227.456,7664490.400,1681.7394,Naib,,Shipahu,19.02.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 33,11,6,574.0182,I 85,N,3; 4; 10,,>300m,,<300m,unfavourable,20,<15m,isolated,magnificent,none,water run-off,few,few,none,none,none,none,none,none,none,
398,I 87,451488.272,7664755.882,2020.1098,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 115,97,4,36.1246,I 99,NE; SW; NW,1; 2; 12,,<300m,,<300m,± vertical rock,5,>15m,central,poor,none,water run-off,few,few,few,none,none,none,none,none,iron wire,
399,I 88,450967.328,7664387.611,1836.6642,Naib,,Matheus,07.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 135,129,3,330.6783,I 90,SE,3; 4; 5; 6; 8; 10; 11,,>300m,,>300m,spacious,3,<15m,isolated,magnificent,none,disintegration of rock; water run-off; vegetation impact,few,few,none,none,none,none,none,none,none,
400,I 89,450049.969,7664943.914,1936.6684,Naib,,Shipahu,22.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 109,5,6,54.471,I 90,W,5,,<300m,,>300m,unfavourable,6,<3m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
401,I 90,450287.592,7664689.147,1929.4529,Naib,,Shipahu,22.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 108,3,4,54.471,I 89,SW,1,,>300m,True,adjacent,± vertical rock,5,<3m,central,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
402,I 91,450517.937,7664576.381,1949.789,Naib,,Shipahu,02.10.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 107,7,3,67.1934,I 89,S,5,,<300m,,>300m,unfavourable,10,<3m,marginal,poor,none,water run-off,none,none,none,none,none,none,none,none,none,
403,I 92,450788.243,7664239.542,1984.3655,Naib,,Matheus,10.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 106,1,5,109.5871,I 91,SW,5,,<300m,,>300m,spacious,15,<1m,marginal,rather nice,none,water run-off,few,none,none,none,none,few,none,none,none,
404,I 93,450199.671,7664659.174,1966.5624,Naib,,Shipahu,20.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 110,2,4,33.0548,I 95,SW,5,,<300m,,<300m,unfavourable,3,<3m,central,poor,none,water run-off,few,few,none,none,none,none,none,none,none,
405,I 94,450961.888,7664765.384,1969.6357,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 111,4,4,34.4342,I 93,N,5; 8,,<300m,,<300m,unfavourable,8,<3m,central,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
406,I 95,450114.846,7664201.920,1973.9123,Naib,,Shipahu,10.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 105,13,4,33.0548,I 93,SW,5,,<300m,True,adjacent,unfavourable,2,<3m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
407,I 96,450018.867,7664732.146,2003.3657,Naib,,Jipsen,July 63,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 104,20,5,84.437,I 95,S,5,,<300m,,>300m,unfavourable,5,<15m,marginal,rather nice,Pager's Camp,none,few,few,few,none,none,few,none,none,none,
408,I 97,451002.206,7664982.539,1998.128,Naib,,Shipahu,20.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 103,5,3,92.5614,I 96,N,3,,<300m,True,within shouting distance,unfavourable,0,<15m,marginal,rather nice,none,water run-off,few,none,few,none,none,none,none,none,none,
409,I 98,451530.102,7664916.688,2013.5337,Naib,,Shipahu,21.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 113,3,3,61.2694,I 99,NE,1,,<300m,,>300m,± vertical rock,2,<3m,marginal,poor,none,water run-off,none,none,none,none,none,none,none,none,none,
410,I 99,451833.081,7664708.716,2016.5912,Naib,,Shipahu,21.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 114,1,3,36.1246,I 87,SE,1,,<300m,,>300m,± vertical rock,0,<3m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
411,I 100,450629.091,7664827.739,2006.3279,Naib,„Lempp Grottoes“,Lempp,1957/ 58,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 112,275,5,180.5784,I 94,NW,5; 9; 10; 11,True,within shouting distance,,>300m,spacious,69,<15m,marginal,rather nice,Fireplace and Pager's Camp,water run-off,masses,masses,masses,masses,none,masses,few,none,various organic material,
412,I 101,451986.882,7664092.318,2023.7032,Naib,,Shipahu,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 116,1,4,43.8902,I 102,SE,1,,<300m,,>300m,± vertical rock,0,<1m,central,poor,none,water run-off,none,none,none,none,none,none,none,none,none,
413,I 102,451512.300,7664800.805,2027.8916,Naib,,Shipahu,12.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 117,6,5,43.8902,I 101,SW,1,True,adjacent,,>300m,± vertical rock,0,<3m,central,poor,none,water run-off,few,few,few,none,none,none,none,none,none,
414,I 103,451099.712,7664203.698,2031.4803,Naib,,Matheus,18.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 118,100,4,52.143,I 102,N; SW,1; 4; 6; 9; 10; 12,True,within shouting distance,True,within shouting distance,unfavourable,9,<15m,marginal,rather nice,none,water run-off; vegetation impact,few,few,few,few,none,none,none,none,none,
415,I 104,451122.497,7664949.808,2031.436,Naib,,Matheus,18.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 119,13,4,69.9029,I 105,SW,1; 12,,within shouting distance,True,within shouting distance,± vertical rock,1,<15m,central,poor,none,water run-off,none,none,none,none,none,none,none,none,none,
416,I 105,451625.297,7664651.852,2038.9852,Naib,,Shipahu,12.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 120,22,5,36.1809,I 106,S; W; NW,1; 5; 12,,<300m,True,adjacent,unfavourable,7,<3m,central,rather nice,none,disintegration of rock; water run-off,many,many,many,many,none,many,few,none,none,
417,I 106,451241.846,7664016.100,2038.3685,Naib,,Shipahu,12.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 121,8,3,36.1809,I 105,E,5,,<300m,,>300m,unfavourable,3,<3m,central,poor,none,water run-off,none,none,none,none,none,none,none,none,none,
418,I 107,451221.379,7664285.146,2038.5635,Naib,,Shipahu,18.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 122,101,4,56.6277,I 106,N; S,1; 2,,<300m,,>300m,± vertical rock,1,<15m,marginal,poor,none,water run-off,few,few,none,none,none,none,none,none,none,
419,I 108,452746.549,7664789.932,2145.4444,Naib,,Matheus,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 123,23,4,60.332,I 109,N,1; 12,,>300m,True,adjacent,± vertical rock,3,>15m,isolated,rather nice,none,water run-off,few,few,few,few,none,none,none,none,none,
420,I 109,452972.941,7664392.919,2149.9245,Naib,,Matheus,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 124,4,4,60.332,I 108,SW,1,,within shouting distance,True,adjacent,± vertical rock,0,<15m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
421,I 110,452006.947,7664410.070,2149.127,Naib,,Matheus,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 125,41,2,120.4678,I 112,NW,3; 4; 5; 8,True,adjacent,True,adjacent,unfavourable,7,<15m,marginal,rather nice,none,disintegration of rock; water run-off,few,few,none,few,none,none,none,none,NA,
422,I 111,452073.348,7665442.893,2158.9007,Naib,,Matheus,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 127,22,3,57.4192,I 112,SW,1,,>300m,True,adjacent,± vertical rock,2,<15m,central,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
423,I 112,452530.104,7664212.295,2158.1598,Naib,,Matheus,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 126,8,6,57.4192,I 111,N,1,,>300m,True,adjacent,± vertical rock,0,<15m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
424,I 113,452503.307,7664744.467,2164.7863,Naib,,Matheus,13.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 128,105,4,45.5026,I 114,SW,5; 6; 8,,>300m,True,within shouting distance,unfavourable,5,<15m,central,rather nice,none,water run-off,medium quantity,medium quantity,none,none,none,none,none,none,none,
425,I 114,452560.241,7665738.279,2167.5699,Naib,,Matheus,13.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 129,60,6,45.5026,I 113,E; S,1; 3; 4; 5; 7; 8; 12,,>300m,True,<300m,unfavourable; ± vertical rock,10,<15m,central,rather nice,Pager's Camp,water run-off,many,many,many,many,none,none,none,none,wooden spoon,
426,I 115,452240.321,7665445.580,2200.9463,Naib,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 131,27,5,78.9055,I 114,N; E; S,5; 7; 8,,<300m,True,<300m,unfavourable; ± vertical rock,16,<3m,marginal,magnificent,none,water run-off,many,many,many,many,none,many,none,none,none,
427,I 116,452595.193,7664315.046,2167.1643,Naib,,Matheus,23.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 130,44,5,82.9473,I 113,SE,1,,>300m,,<300m,± vertical rock,0,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
428,I 117,452233.949,7665375.630,2203.6672,Naib,,Shipahu,18.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 134,8,4,269.0254,I 119,S,5,,>300m,True,within shouting distance,unfavourable,6,<15m,isolated,magnificent,none,water run-off,medium quantity,medium quantity,none,none,none,none,none,none,none,
429,I 118,452445.508,7665723.937,2201.3042,Naib,,Matheus,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 132,27,5,112.2443,I 115,NE,1,,>300m,True,within shouting distance,± vertical rock,0,<15m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
430,I 119,452911.819,7665536.918,2220.5933,Naib,,Shipahu,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 133,29,3,147.5406,I 120,SW,5; 6,,<300m,True,<300m,unfavourable,2,<3m,isolated,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
431,I 120,452539.275,7665222.469,2267.645,Naib,,Shipahu,14.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 142,9,6,147.5406,I 119,NE,1; 12,,<300m,True,adjacent,± vertical rock,0,<15m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
432,I 121,451710.815,7663392.583,2153.3949,Naib,,Shipahu (relocated),17.09.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 1,152,1,207.5076,I 122,E; S,1; 5; 7; 8; 9; 10; 12,,>300m,True,adjacent,unfavourable,15,<15m,isolated,magnificent,Fireplace and Pager's Camp,water run-off,medium quantity,medium quantity,medium quantity,medium quantity,none,none,none,none,none,
433,I 122,451516.824,7663124.482,2141.8243,Naib,,Shipahu,17.09.1980,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 2,20,4,207.5076,I 121,SE; NW,7; 8,,>300m,True,adjacent,unfavourable,4,<15m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
434,I 123,451342.392,7665933.448,2100.8145,Naib,,Walter,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 95,49,5,178.1911,I 124,NW,4; 5,,>300m,,<300m,unfavourable,6,<15m,isolated,poor,none,water run-off,few,few,none,none,none,none,none,none,none,
435,I 124,451766.504,7665202.018,2152.7329,Naib,,Shipahu,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 96,26,4,178.1911,I 123,SW,8,,>300m,,>300m,unfavourable,10,<3m,isolated,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
436,I 125,451932.199,7665201.501,2102.8308,Naib,,Matheus,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 97,230,5,178.6671,I 124,N; E; S; W,1; 2; 5; 8,,>300m,True,adjacent,unfavourable; ± vertical rock,2,>15m,isolated,rather nice,none,water run-off,medium quantity,medium quantity,medium quantity,none,none,none,none,none,none,
437,I 126,451870.473,7664835.845,2090.6423,Naib,,Matheus,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 98,1,6,102.7843,I 127,S,1,,>300m,True,adjacent,± vertical rock,0,<15m,marginal,rather nice,none,none,none,none,none,none,none,none,none,none,none,
438,I 127,451946.033,7664568.051,2097.589,Naib,,Matheus,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 99,60,6,102.7843,I 126,N; E; NW,1; 4; 5; 6; 7; 8; 10; 12,,>300m,True,adjacent,unfavourable; ± vertical rock,18,<15m,marginal,poor,Pager's Camp,water run-off,many,many,many,many,none,many,none,none,none,
439,I 128,451084.143,7665406.964,2166.7203,Naib,,Shipahu,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 102,58,5,44.2168,I 129,S,4; 5; 6,,within shouting distance,True,<300m,unfavourable,5,<1m,marginal,rather nice,none,water run-off; vegetation impact,few,few,none,none,none,none,none,none,none,
440,I 129,451641.034,7665849.971,2158.798,Naib,,Shipahu,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 101,1,6,44.2168,I 128,W,6,,within shouting distance,,<300m,unfavourable,3,<1m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
441,I 130,451919.877,7665371.749,2155.3847,Naib,,Shipahu,11.02.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 100,8,2,99.1647,I 129,NE; NW,1; 12,,within shouting distance,True,adjacent,± vertical rock,0,<3m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
442,I 131,451526.400,7665641.030,2186.5795,Naib,,Shipahu,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 138,7,5,55.2753,I 133,N; E,1; 12,,within shouting distance,,within shouting distance,unfavourable,10,<15m,central,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
443,I 132,452984.922,7665126.331,2185.4446,Naib,,Shipahu,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 137,8,6,59.3812,I 131,NE,4; 5,True,within shouting distance,,<300m,unfavourable,9,<3m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
444,I 133,452340.167,7665818.070,2178.6068,Naib,,Shipahu,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 136,172,3,55.2753,I 131,N,1; 3; 4; 5; 7; 8; 12,True,within shouting distance,True,within shouting distance,unfavourable,13,<15m,marginal,rather nice,Pager's Camp,water run-off,medium quantity,medium quantity,none,none,none,none,none,none,none,
445,I 134,451783.168,7665541.870,2187.9363,Naib,,Shipahu,11.03.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 139,42,5,125.4946,I 136,N; SE; W,1; 12,,>300m,True,adjacent,± vertical rock,4,<15m,marginal,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,
446,I 135,451475.722,7665301.253,2208.4934,Naib,,Matheus,14.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 141,60,5,72.3584,I 136,N; E,2; 3; 4; 5; 8,,<300m,True,<300m,unfavourable,1,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
447,I 136,451117.141,7665122.106,2200.9052,Naib,,Matheus,13.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 140,79,6,72.3584,I 135,SE; S,1; 5; 6; 8; 10; 12,,>300m,True,within shouting distance,unfavourable,9,<15m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,medium quantity,none,none,none,none,none,none,
448,I 137,451342.926,7665758.619,2255.1136,Naib,,Matheus,13.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 146,2,5,199.4727,I 136,N,1,,>300m,,>300m,± vertical rock,2,<3m,isolated,magnificent,none,water run-off,none,none,none,none,none,none,none,none,none,
449,I 138,452733.293,7665543.649,2280.2512,Naib,,Shipahu,13.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 145,14,5,299.2866,I 139,N,1,,>300m,True,adjacent,± vertical rock,2,<15m,isolated,poor,none,disintegration of rock; water run-off,few,few,none,none,none,none,none,none,none,
450,I 139,452139.281,7665529.285,2341.0792,Naib,,Shipahu,14.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 144,13,3,52.4021,I 140,NE,1,,>300m,True,adjacent,± vertical rock,0,<15m,isolated,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
451,I 140,452084.652,7665048.891,2347.6077,Naib,,Shipahu,14.05.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 143,3,3,52.4021,I 139,SW,1,,>300m,True,within shouting distance,± vertical rock,2,<3m,isolated,magnificent,none,water run-off,none,none,none,none,none,none,none,none,none,
452,I 141,451540.620,7665382.664,2245.6858,Naib,,Matheus,04.06.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 149,16,5,194.5227,I 142,E,1; 5; 12,,NA,True,within shouting distance,unfavourable,1,<3m,marginal,poor,none,water run-off,many,many,many,many,none,none,none,none,none,
453,I 142,451393.505,7665151.004,2245.5862,Naib,,Matheus,04.06.1983,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 6 – Circus and Dom Gorges. Africa Praehistorica 20 (Köln: Heinrich Barth Institut); 2006.,3-927688-31-2,I 148,4,6,88.8159,I 143,NW,1,True,<300m,True,within shouting distance,± vertical rock,0,<3m,marginal,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,
